city,name,country,tier,synthetic,population,mean_everyday,mean_emergency,gini_everyday,gini_emergency,p90_p50_ratio_emergency,spearman_rho,compounding_intensity,divergence_gap,compounding_pop_share_50,jaccard_high_50,compounding_pop_share_75,jaccard_high_75,gini_t_everyday,gini_t_emergency,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,pop_share_beyond_emergency_30,pop_share_beyond_emergency_45,pop_share_beyond_emergency_60,log10_population,slope_density_everyday,slope_ses_everyday,slope_density_emergency,slope_ses_emergency,slope_ses_column
palma_de_mallorca,Palma de Mallorca,ES,1,False,818201.9325652656,0.2512497977921211,0.2040803076310928,0.5037366132919836,0.45427709168365,3.723198311296584,0.1355062927765885,0.3465246642414961,-0.0494595216083335,0.2896456115795737,0.407596408351031,0.1050195412636424,0.2664580563600094,0.6051848897533587,0.2678114833418206,0.4398000732967773,0.2203687706245318,0.0789602739488516,0.0080763679051297,0.0004529964019666,5.91286050095243,-0.9657487480263904,0.2852377239017207,-0.6373540687549719,-0.3232175624465666,ses_census_employment_share
brno,Brno,CZ,1,False,745397.2083868613,0.2869549955266288,0.169756683764208,0.5605069669530071,0.4566011142644358,3.175289834151682,0.6028274293727219,0.4018790074047368,-0.1039058526885712,0.3696245758773154,0.586224792666574,0.1572496208629836,0.4589844613802616,0.6419555280375017,0.2960693531948196,0.3629555668499253,0.2875159505425395,0.0415660816646214,4.223320239457746e-05,1.7706129650997945e-05,5.8723877619294225,-1.2284675770279605,-0.1291820061750689,-1.0432031240601891,-0.1978452067774392,ses_census_employment_share
tallinn,Tallinn,EE,1,False,731882.6410344983,0.3490835769520999,0.4158419070297889,0.4562822525835812,0.7129506575207135,5.217264286517287,0.4492071085435218,0.381096769068472,0.2566684049371323,0.3261492568286925,0.4839763078586239,0.1366044269830462,0.3748815951447007,0.5928688888414863,0.4251200325631248,0.4016127473777397,0.2877257088001648,0.1293411768592763,0.0655393812059779,0.0526231717226879,5.8644414465811465,-1.00919578718506,0.0432596309903226,-0.6083905744935989,-0.1341329209426732,ses_census_employment_share
grenoble,Grenoble,FR,1,False,688169.9173019223,0.2133118835895676,0.164686752169243,0.5783417959326965,0.4444707937945363,3.8833032092772326,0.6257294368580187,0.4051274720852064,-0.1338710021381601,0.379127721326406,0.6103309969724248,0.1628749108873035,0.4825138421448796,0.6654546466101783,0.2750540775764387,0.3061859515557378,0.206206064815637,0.0237424945674946,0.0003412631514743,4.6012730279859214e-05,5.83769568392669,-1.1507377351167185,,-1.1107798961262474,,
luxembourg,Luxembourg,LU,1,False,595677.1746119342,0.312216666162615,0.2444104478304013,0.4691969098060908,0.407476307452867,2.852800162835877,0.2994877998247139,0.3643274940699964,-0.0617206023532237,0.3012692836990361,0.4305339812868834,0.1337389542990104,0.3644751687097654,0.5874164891642583,0.2210084858724028,0.4063562364659465,0.3037884301058241,0.0598471804190394,0.0066107267445716,0.0063623266511675,5.775010958953963,-0.9882543555535468,0.2960125385732275,-0.5334889084196108,0.056402138045393,ses_census_employment_share
toulon,Toulon,FR,1,False,540278.7228263471,0.3147860657341516,0.1347741522143941,0.4310810449911272,0.4577184859790059,2.948127835052458,0.4151193612229298,0.3753130871395341,0.0266374409878786,0.3256132337620719,0.4830517540436425,0.1164396208114616,0.3035573818819975,0.5674502092576869,0.2876771650323126,0.3788135574153964,0.2855833493669882,0.0137346699406478,0.0008485887221445,0.0008448586020875,5.732617864557406,-1.1564212066772783,,-0.7823696443482937,,
aarhus,Aarhus,DK,1,False,525544.5346378079,0.3360097295125481,0.2692171489966009,0.3943523216353278,0.4380497720948725,3.480192203790377,0.3836937920683699,0.3733002920656062,0.0436974504595447,0.3095601600696881,0.4540675095206092,0.1192741183603657,0.3124498228803002,0.4939180022838623,0.267256766650827,0.6071767355811766,0.3554817461907749,0.1476547237291751,0.0109596281318674,0.0005634254922471,5.720609524033045,-1.218725310384644,0.4308630490366834,-0.978393999104968,0.4973940613967219,ses_census_employment_share
chemnitz,Chemnitz,DE,1,False,481607.1304687208,0.2239044458420891,0.0956786170818887,0.556563911160276,0.318201015421229,1.950172513819753,0.3560130545413428,0.3717582527777806,-0.238362895739047,0.3179720007761791,0.4658188575476745,0.1192490744246057,0.3134742872848079,0.6563892711473694,0.1963435146199763,0.2327095558174921,0.2094526919738383,3.5887998016994314e-05,0.0,0.0,5.682692908275296,-1.076596189148912,,-0.8820250222516295,,
turku,Turku,FI,1,False,353992.3099075798,0.4093693136714311,0.2417964566705247,0.3847166026846473,0.565126344660241,4.29874946323154,0.6692634196125123,0.4109301832472889,0.1804097419755937,0.3601619289075292,0.5691785379953708,0.1570434897460496,0.4469999511274539,0.4861724768435811,0.3486245116478786,0.6499223212904253,0.4378767674792665,0.1150693718043215,0.0197599401988827,0.0052516121725275,5.548993827559744,-0.8760552481778968,0.2786223390459723,-0.4912208581266183,0.1454520846923129,ses_census_employment_share
stavanger,Stavanger,NO,1,False,331780.0447566076,0.2513563261594999,0.3126856811935066,0.4984469630958261,0.491536975919836,3.579444774345747,0.2839401454586805,0.3645986974465828,-0.00690998717599,0.2991891316419797,0.4354967762736517,0.1017752712492845,0.2575721952245551,0.633048449869222,0.2926733262993373,0.2212261898415057,0.183166678119246,0.1806683741210091,0.0185390426835967,0.0055921027954269,5.520850261396867,-1.0316066221454463,0.466593641884221,-0.6123843512745295,0.2409211744054416,ses_census_employment_share
aalborg,Aalborg,DK,1,False,309889.5738811132,0.4051808515427983,0.2774653286332659,0.4191242133392057,0.5410821167609613,3.591262191587411,0.4678047889271339,0.385630310527094,0.1219579034217555,0.3424832492022913,0.520964438627659,0.1286914016806329,0.3406056780435939,0.5320217558322428,0.3497561962413023,0.5380811913222874,0.4409282540481106,0.1540653893471629,0.0308703467381988,0.0030676899071915,5.491206964809561,-1.1275304794597178,0.5410461007733607,-0.6726401854752072,0.2308113558697322,ses_census_employment_share
