city,name,country,regime,service,n_facilities,pop_median_time_min,pop_mean_time_min,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share
landshut,Landshut,DE,everyday,school_primary,80.0,5.739235237734665,6.186193693749749,0.2320244262346261,0.2160937733522295,0.2160722895112075,0.0
lisboa,Lisboa,PT,everyday,school_primary,1500.0,3.0177899530871373,3.561332571459787,0.0214670955516051,0.0183708421942298,0.0183224331895131,2.4896942753291737e-05
ljubljana,Ljubljana,SI,everyday,school_primary,338.0,5.197645170320369,5.98678365541171,0.2246602259754929,0.2087184814942008,0.207891149563421,0.0008242001926261
lodz,Łódź,PL,everyday,school_primary,409.0,5.275785826158003,6.24050175299643,0.1325407014059765,0.0895433320007956,0.0895312496208215,0.0
lomza,Łomża,PL,everyday,school_primary,47.0,6.290194167682005,6.893412072165041,0.3217963904819409,0.2893930910430471,0.2887566736233499,0.0
luxembourg,Luxembourg,LU,everyday,school_primary,366.0,4.144367217017111,5.053043528668608,0.1141241559178729,0.0966380757410245,0.0965181912915127,0.0001198844495118
madrid,Madrid,ES,everyday,school_primary,2954.0,2.028183033141227,3.085403223731089,0.0667004157272743,0.0528172417061343,0.0525160030828495,0.0001414262031588
milano,Milano,IT,everyday,school_primary,1725.0,3.8299103933915486,4.372850233533337,0.0264917068857591,0.0214042845168963,0.0214004956756328,0.0
munchen,München,DE,everyday,school_primary,1049.0,4.71289092898218,5.289812704623838,0.0818411485728904,0.0713888750948088,0.0709873920974726,0.000369052645039
napoli,Napoli,IT,everyday,school_primary,757.0,4.920580125119692,6.044152439210842,0.111037612968244,0.0615794375077021,0.0613190098863611,0.0
norrkoping,Norrköping,SE,everyday,school_primary,112.0,3.9988698142247343,4.830727817416042,0.2416389337138631,0.2338607009452452,0.2242320211830436,0.0086530587245269
oslo,Oslo,NO,everyday,school_primary,771.0,5.0,5.535544797025477,0.0735665551946637,0.0640855876368037,0.0633635227133017,0.000722064923502
palermo,Palermo,IT,everyday,school_primary,198.0,4.622181306797432,6.1194252888915575,0.1657097910518209,0.0949271379658799,0.0945585053323618,2.353952749810184e-06
palma_de_mallorca,Palma de Mallorca,ES,everyday,school_primary,309.0,2.73460600300044,3.750201438961206,0.108356133778407,0.0986949432486152,0.0985708868292686,0.0001240564193465
paris,Paris,FR,everyday,school_primary,10710.0,1.5214418674070558,2.2619255777431704,0.0204836426990398,0.0178630394926016,0.0175818840288013,0.00028082037673
porto,Porto,PT,everyday,school_primary,832.0,4.100076993778495,4.531609781780464,0.0089927756709548,0.0073425155769597,0.0072446980569689,9.78175199907707e-05
praha,Praha,CZ,everyday,school_primary,823.0,4.155659867305365,5.01512202077796,0.1340605226636017,0.1171102690156323,0.1167353613827665,0.0003501534172989
riga,Rīga,LV,everyday,school_primary,441.0,4.884122407550728,5.952130567449606,0.2604711940848728,0.2303939236243963,0.2202416813386732,0.0101002097830844
roma,Roma,IT,everyday,school_primary,1186.0,3.781922094670676,4.610326273172489,0.1402153048286197,0.1284933136060602,0.1282213602566816,0.0002464793215012
sittard_geleen,Sittard-Geleen,NL,everyday,school_primary,58.0,7.171981100510014,8.591075231954427,0.1867345969399003,0.0704305489757566,0.0639223271879219,5.650420199129408e-05
sofia,Sofia,BG,everyday,school_primary,426.0,4.410068690853318,5.225469920846067,0.1195971774079976,0.099614427495406,0.0955357400031338,0.0040638430395907
stavanger,Stavanger,NO,everyday,school_primary,208.0,4.955889941003611,5.617969071113754,0.0976832158255808,0.0786810118048531,0.0763534547127654,0.0023275570920877
stockholm,Stockholm,SE,everyday,school_primary,1044.0,4.348121160242313,5.005523923075088,0.0815077968214376,0.0713515132248675,0.0686022839357617,0.0022773477825569
szeged,Szeged,HU,everyday,school_primary,92.0,4.473828007558343,5.305106134991455,0.1554773513821103,0.1365844259277712,0.1364875211700629,7.912695031528352e-05
talavera_de_la_reina,Talavera de la Reina,ES,everyday,school_primary,46.0,2.4036650418912817,3.95147994480636,0.233570477699454,0.1971154791848208,0.1951235760140462,0.0002669232060958
tallinn,Tallinn,EE,everyday,school_primary,216.0,6.008629434251501,7.221799865908667,0.2343586321752108,0.1782049449734016,0.16735513262902,0.0096514305155998
toulon,Toulon,FR,everyday,school_primary,314.0,5.115828959923056,6.191084519304869,0.1220596304848862,0.0769557156305505,0.0744442567064262,0.0007117881025811
turku,Turku,FI,everyday,school_primary,202.0,4.90585861438766,5.500567959117766,0.1678293637478251,0.1596412196710207,0.1492461299083066,0.0103862042662311
vasteras,Västerås,SE,everyday,school_primary,102.0,6.069876745087828,7.199943435006279,0.1911992982861305,0.1231267782317585,0.1226901760962948,0.0001051565213188
vicenza,Vicenza,IT,everyday,school_primary,158.0,3.777127216301774,4.542660609096426,0.0704269811849672,0.0610337351996226,0.0610324943359147,0.0
vilnius,Vilnius,LT,everyday,school_primary,362.0,5.865947404417853,6.671061576162027,0.3297733048325704,0.2953770865179593,0.2543342305032091,0.0408371602762756
warszawa,Warszawa,PL,everyday,school_primary,1506.0,3.894149976208341,4.7894294501542936,0.1031656778851203,0.0900942916194516,0.0860904847469686,0.0039568237154788
wroclaw,Wrocław,PL,everyday,school_primary,513.0,3.77753123759759,4.6563512110722325,0.1301213613464122,0.1133526890499904,0.1133420685648439,5.032420538371682e-06
zagreb,Zagreb,HR,everyday,school_primary,521.0,5.029604897392515,5.832048256896488,0.1277654576360716,0.1094022035944565,0.1088985656191224,0.0004933468398991
zilina,Žilina,SK,everyday,school_primary,111.0,4.0,5.221942687306638,0.2106992097542634,0.1927234618467929,0.191740472717052,7.047339346332587e-05
aalborg,Aalborg,DK,everyday,school_secondary,153.0,7.5,7.979390185651733,0.2401184597812562,0.1884682687765051,0.1830247927053882,0.0048790226454677
aarhus,Aarhus,DK,everyday,school_secondary,227.0,5.3760648219936025,5.89054932900126,0.1163339288665366,0.1065555574007213,0.1064566920368299,9.747682019448447e-05
alicante,Alicante,ES,everyday,school_secondary,362.0,3.15352388408682,4.658589007114154,0.1906107582067011,0.1655875449272282,0.165240738690044,0.0
amersfoort,Amersfoort,NL,everyday,school_secondary,161.0,3.197684621993003,3.905000231865217,0.0308541527430002,0.0202596201417635,0.0200759181257313,3.576247142572889e-06
amsterdam,Amsterdam,NL,everyday,school_secondary,1434.0,3.581413389650838,4.482438331775408,0.0859557833049458,0.0646654164114249,0.0643450973385529,0.0001947696890257
antwerpen,Antwerpen,BE,everyday,school_secondary,572.0,4.538745292648574,5.5176493117731695,0.1604250145755806,0.1294732681199426,0.1294444965508168,0.0
apeldoorn,Apeldoorn,NL,everyday,school_secondary,158.0,4.423032887548463,5.466881095477191,0.0908987539060392,0.0590244148205888,0.0588626708354101,5.107407344433736e-05
arezzo,Arezzo,IT,everyday,school_secondary,185.0,3.646623470633418,4.360618208424035,0.0876720156050742,0.0727505141701077,0.0727149858620864,0.0
athina,Athina,EL,everyday,school_secondary,1628.0,1.8001586005145624,2.419766896589372,0.0275069463068088,0.0254817277972522,0.0251348209705481,0.0003269286847008
barcelona,Barcelona,ES,everyday,school_secondary,1886.0,1.4666862944584518,2.4998225727812367,0.0556041664968487,0.0480073238802297,0.0441896117727838,0.0038177121074459
